subject,predicate,object
UỂ OẢI,HAS_SYMPTOM,BỦN RỦN
RỐI LOẠN ĐI TIÊU,HAS_SYMPTOM,ÁC TÍNH
NGHẸT MŨI,HAS_SYMPTOM,ĐAU MỎI CƠ
DỊ ỨNG,HAS_SYMPTOM,PHÙ NỀ 2
ÊM LOÉT,HAS_SYMPTOM,VIÊM
TẮC NGHẼN NGỰC,HAS_SYMPTOM,HẮT HƠI
ĐAU LƯNG,HAS_SYMPTOM,ĐAU TỨC NGỰC
SỎI MẬT,HAS_SYMPTOM,RỐI LOẠN LO ÂU
SUY TIM,HAS_SYMPTOM,MÃN TÍNH
HỤT HƠI,HAS_SYMPTOM,CĂNG THẲNG
PHÁT BAN,HAS_SYMPTOM,VIÊM DA DỊ ỨNG
VIRURS,HAS_SYMPTOM,COV
TỔN THƯƠNG,HAS_SYMPTOM,MẤT THỊ LỰC
TAI BIẾN,HAS_SYMPTOM,MÃN TÍNH
RỐI LOẠN NHỊP TIM,HAS_SYMPTOM,TIÊU CHẢY
BUỒN NGỦ,HAS_SYMPTOM,CẢM CÚM
NHIỄM NẤM DA,HAS_SYMPTOM,NỔI MỤN NƯỚC
CAO HUYẾT ÁP,HAS_SYMPTOM,GOUT
MỆT MỎI,HAS_SYMPTOM,MẤT VỊ
CHẢY NƯỚC MẮT,HAS_SYMPTOM,VIÊM KẾT MẠC
ĐAU BỤNG,HAS_SYMPTOM,ĐAU LƯNG
COVID,HAS_SYMPTOM,VIÊM GAN C
TÍM TÁI,HAS_SYMPTOM,ĐAU BỤNG
VIÊM DA CƠ ĐỊA,HAS_SYMPTOM,CHẬM
ĐAU LƯNG,HAS_SYMPTOM,THOÁI HOÁ CỘT SỐNG
CÁU KỈNH,HAS_SYMPTOM,NHẠY CẢM
BỊ BỆNH,HAS_SYMPTOM,TẮC ỐNG DẪN TINH
CHOÁNG ĐẦU,HAS_SYMPTOM,RỐI LOẠN TIỀN ĐÌNH
HUYẾT ÁP,HAS_SYMPTOM,VIÊM XOANG
CHẬM,HAS_SYMPTOM,TIM ĐẬP NHANH
TÊ ĐẦU,HAS_SYMPTOM,COVID
SUY THOÁI,HAS_SYMPTOM,GOUT
SỐT,HAS_SYMPTOM,TỨC NGỰC
LÚ LẪN,HAS_SYMPTOM,CHÓNG MẶT
MẤT MÙI,HAS_SYMPTOM,VIÊM PHỔI
ĐAU MỎI CƠ,HAS_SYMPTOM,TÊ LƯỠI
ĐAU,HAS_SYMPTOM,SƯNG ĐỎ
XƠ VỮA ĐỘNG MẠCH,HAS_SYMPTOM,VIÊM DA CƠ ĐỊA
ÁC TÍNH,HAS_SYMPTOM,BỆNH LÝ
RÉT RUN,HAS_SYMPTOM,TIỂU BUỐT
BỆNH LÝ,HAS_SYMPTOM,TIỂU ĐƯỜNG
CHÓNG MẶT,HAS_SYMPTOM,DỊ CẢM
NẤM LƯỠI,HAS_SYMPTOM,HIV
ĐAU ĐẦU,HAS_SYMPTOM,TRUYỀN NHIỄM
SỐT,HAS_SYMPTOM,VÔ NIỆU
HO NHIỀU,HAS_SYMPTOM,KHÓ THỞ
BỆNH MIỄN DỊCH,HAS_SYMPTOM,VIÊM MŨI DỊ ỨNG
MẤT LÁCH,HAS_SYMPTOM,ĐÁI THÁO ĐƯỜNG
BIẾNG ĂN,HAS_SYMPTOM,TIÊU CHẢY
TIÊU CHẢY,HAS_SYMPTOM,NẤM LƯỠI
THỞ KHÒ KHÈ,HAS_SYMPTOM,NGỪNG THỞ
CỨNG LƯỠI,HAS_SYMPTOM,KHÓ THỞ
SUY GAN,HAS_SYMPTOM,NGỨA
SUY GAN,HAS_SYMPTOM,HOẠI TỬ
THỞ NHANH,HAS_SYMPTOM,TỤT HUYẾT ÁP
ÓI MỬA,HAS_SYMPTOM,TĂNG TIẾT NƯỚC BỌT
SỐT,HAS_SYMPTOM,NỔI MẨN DA
BỆNH BAN ĐÀO,HAS_SYMPTOM,PHÁT BAN
ĐAU LƯNG,HAS_SYMPTOM,KINH NGUYỆT
ĐAU TỨC NGỰC,HAS_SYMPTOM,TRÀN DỊCH MÀNG PHỔI
DỊ ỨNG,HAS_SYMPTOM,NÓNG SỐT
ĂN KÉM,HAS_SYMPTOM,PHÁT BAN
RỐI LOẠN,HAS_SYMPTOM,LẠC NỘI MẠC
CO GIẬT,HAS_SYMPTOM,RUNG LẮC
BIẾN CHỨNG,HAS_SYMPTOM,RỐI LOẠN
HOA MẮT,HAS_SYMPTOM,SỐT
NỨT NẺ,HAS_SYMPTOM,SƯNG TẤY
CAO HUYẾT ÁP,HAS_SYMPTOM,UNG THƯ PHỔI
DỊ DẠNG MẠCH MÁU NÃO,HAS_SYMPTOM,BẨM SINH
VẾT ĐỐT,HAS_SYMPTOM,NHIỄM TRÙNG DA
VI KHUẨN,HAS_SYMPTOM,KHÁNG THUỐC
Ợ CHUA,HAS_SYMPTOM,CHẢY MÁU
NỔI MÀY ĐAY,HAS_SYMPTOM,PHÙ NIÊM
CHẢY MÁU,HAS_SYMPTOM,LIỆT CÁC DÂY THẦN KINH
KHÓ THỞ,HAS_SYMPTOM,SỤT CÂN
TIỂU MÁU,HAS_SYMPTOM,TỤ MÁU DƯỚI MÀNG CỨNG
NỔI MÀY ĐAY,HAS_SYMPTOM,ĐAU QUẶN BỤNG
CÚM,HAS_SYMPTOM,HẮT HƠI
BỊ BỆNH,HAS_SYMPTOM,SUY TIM
CHOÁNG VÁNG,HAS_SYMPTOM,UỂ OẢI
RÁT,HAS_SYMPTOM,SỤT CÂN
TĂNG MỠ BỤNG,HAS_SYMPTOM,DỄ GÃY RỤNG
KHÓC LÓC,HAS_SYMPTOM,KHÔ
SUY,HAS_SYMPTOM,DỊ ỨNG
VIÊM PHỔI,HAS_SYMPTOM,ĐAU
KHÀN GIỌNG,HAS_SYMPTOM,ĐAU
CAO HUYẾT ÁP,HAS_SYMPTOM,VIÊM GIÁP
GIÃN PHẾ QUẢN,HAS_SYMPTOM,ÁP XE PHỔI
TRÀO NGƯỢC DẠ DÀY,HAS_SYMPTOM,MỆT MỎI
MỆT MỎI,HAS_SYMPTOM,THIẾU MÁU
MỆT MỎI,HAS_SYMPTOM,PHẢN ỨNG PHỤ
HUYẾT ÁP,HAS_SYMPTOM,BIẾN CHỨNG
SỐT NÓNG LẠNH,HAS_SYMPTOM,SUY NHƯỢC CƠ THỂ
TẮC NGHẼN NGỰC,HAS_SYMPTOM,NGỨA MŨI
"ĐAU, NHỨC",HAS_SYMPTOM,VẾT BẦM TÍM
HEN,HAS_SYMPTOM,TRẦM CẢM
CĂNG THẲNG,HAS_SYMPTOM,TÂM THẦN
TRIỆU CHỨNG,HAS_SYMPTOM,CHẢY NƯỚC
BỊ BỆNH,HAS_SYMPTOM,VIÊM DA
Ợ HƠI,HAS_SYMPTOM,TÁO BÓN
Ợ CHUA,HAS_SYMPTOM,TÁO BÓN
KHÓ TIÊU,HAS_SYMPTOM,ĐAU
VIÊM MŨI,HAS_SYMPTOM,CHẢY NƯỚC MẮT
RỐI LOẠN CHỨC NĂNG,HAS_SYMPTOM,TRIỆU CHỨNG
NHỨC MẮT,HAS_SYMPTOM,ĐAU BỤNG
NHỨC MẮT,HAS_SYMPTOM,NÔN MỬA
SỎI MẬT,HAS_SYMPTOM,SỎI THẬN
VIÊM,HAS_SYMPTOM,HEN
COVID,HAS_SYMPTOM,BỆNH LÝ NỀN
CHẢY NƯỚC MŨI,HAS_SYMPTOM,NHỊP TIM NHANH
HUYẾT ÁP,HAS_SYMPTOM,TỨC NGỰC
NGỨA,HAS_SYMPTOM,SỐC
DỊ ỨNG DA NI,HAS_SYMPTOM,KHÓ THỞ
CHƯỚNG BỤNG,HAS_SYMPTOM,RỐI LOẠN ĐI TIÊU
HẮT HƠI,HAS_SYMPTOM,NGỨA MẮT
HẸP VAN HAI LÁ,HAS_SYMPTOM,TRIỆU CHỨNG
SƯNG MẮT,HAS_SYMPTOM,KHÓ THỞ
ĐAU ĐẦU,HAS_SYMPTOM,BỆNH LÝ
TỬ VONG,HAS_SYMPTOM,LIỆT VẬN ĐỘNG CHI
CHOÁNG VÁNG,HAS_SYMPTOM,TIM ĐẬP NHANH
DỊ ỨNG,HAS_SYMPTOM,ĐÁI THÁO ĐƯỜNG
CỨNG HỌNG,HAS_SYMPTOM,KHÓ THỞ
HUYẾT ÁP,HAS_SYMPTOM,RỐI LOẠN MỠ MÁU
SUY THẬN,HAS_SYMPTOM,MẤT NGỦ
TIỂU ĐƯỜNG,HAS_SYMPTOM,ĐỘT QUỴ
THIẾU MÁU,HAS_SYMPTOM,NHIỄM KHUẨN HUYẾT
PHÙ,HAS_SYMPTOM,TIÊU CHẢY
TÊ TAY PHẢI,HAS_SYMPTOM,TỔN THƯƠNG
CHẢY NƯỚC MŨI,HAS_SYMPTOM,CÚM
RUN RẨY,HAS_SYMPTOM,ĐAU
PHÙ,HAS_SYMPTOM,NÔN ÓI
COVID,HAS_SYMPTOM,TRÀO NGƯỢC DẠ DÀY
SỐT,HAS_SYMPTOM,NỔI NGỨA MỀ ĐAY
CẢM LẠNH,HAS_SYMPTOM,TĂNG NHỊP TIM
KHÁT NƯỚC,HAS_SYMPTOM,BUỒN NGỦ
TRIỆU CHỨNG,HAS_SYMPTOM,NHIỄM KHUẨN
VIÊM XOANG,HAS_SYMPTOM,RỐI LOẠN NHỊP TIM
CAO HUYẾT ÁP,HAS_SYMPTOM,RỐI LOẠN NHỊP TIM
CAO HUYẾT ÁP,HAS_SYMPTOM,HEN PHẾ QUẢN
MỆT MỎI,HAS_SYMPTOM,ĐAU MỎI CƠ
CHÁN ĂN,HAS_SYMPTOM,VÀNG DA
TĂNG HUYẾT ÁP,HAS_SYMPTOM,ĐAU
ĐI TIỂU,HAS_SYMPTOM,NHIỄM KHUẨN
ALZHEIMER,HAS_SYMPTOM,HUYẾT ÁP
SUY GIẢM MIỄN DỊCH,HAS_SYMPTOM,TIỂU ĐƯỜNG
CAY NHỨC,HAS_SYMPTOM,CHẢY NƯỚC MŨI
CÁU BẲN,HAS_SYMPTOM,HAY QUÊN
BUỒN NÔN,HAS_SYMPTOM,RỐI LOẠN
SUY GIẢM TRÍ NHỚ,HAS_SYMPTOM,TRIỆU CHỨNG
NGỨA,HAS_SYMPTOM,ĐAU BỤNG
KHÓ THỞ,HAS_SYMPTOM,TRÀO NGƯỢC DẠ DÀY
ĐAU,HAS_SYMPTOM,RỐI LOẠN TIỀN ĐÌNH
MẤT CẢM GIÁC,HAS_SYMPTOM,KHÓ CỬ ĐỘNG
UỐN,HAS_SYMPTOM,CO GIẬT
CHẤN THƯƠNG,HAS_SYMPTOM,RỐI LOẠN NHẬN THỨC
ĐAU NGỰC,HAS_SYMPTOM,HUYẾT ÁP
THÂM TÍM,HAS_SYMPTOM,MẮC BỆNH
ĐAU,HAS_SYMPTOM,CHẤN THƯƠNG
NHIỄM NẤM DA,HAS_SYMPTOM,NGỨA
NỔI MẨN ĐỎ,HAS_SYMPTOM,NGỨA NGÁY
HO KHAN,HAS_SYMPTOM,MẤT MÙI
THOÁI HOÁ ĐỐT,HAS_SYMPTOM,THOÁT VỊ ĐĨA ĐỆM
TÊ LƯỠI,HAS_SYMPTOM,VIÊM PHỔI
ĐAU MỎI CƠ,HAS_SYMPTOM,CHẢY NƯỚC MŨI
BUỒN NGỦ,HAS_SYMPTOM,SỐT
MẤT VỊ,HAS_SYMPTOM,VIÊM PHỔI
QUÁNG GÀ,HAS_SYMPTOM,VIÊM
LẠNH RUN,HAS_SYMPTOM,MẤT NGỦ
ĐAU NHÓI,HAS_SYMPTOM,ĐAU
TĂNG MEN GAN,HAS_SYMPTOM,QUÁNG GÀ
CẢM CÚM,HAS_SYMPTOM,CẢM RÉT
HAY QUÊN,HAS_SYMPTOM,ĐAU ĐẦU
BỰC BỘI,HAS_SYMPTOM,KHÔ
BÉO PHÌ,HAS_SYMPTOM,SUY KIỆT
HỘI CHỨNG,HAS_SYMPTOM,TĂNG ÁP PHỔI
BIẾN CHỨNG,HAS_SYMPTOM,CHẤN THƯƠNG
BỊ BỆNH,HAS_SYMPTOM,HẸP EO
LÚ LẪN,HAS_SYMPTOM,CO GIẬT
RỐI LOẠN CHỨC NĂNG,HAS_SYMPTOM,GIẢM THỂ TÍCH MÁU
BAN,HAS_SYMPTOM,NỔI BỌNG NƯỚC
CHOÁNG NGẤT,HAS_SYMPTOM,COVID
CHẤN THƯƠNG,HAS_SYMPTOM,BỆNH NỀN
ĐAU BỤNG,HAS_SYMPTOM,RA HUYẾT
AMIDAN,HAS_SYMPTOM,MẮC BỆNH
THỞ RÍT,HAS_SYMPTOM,BỆNH NỀN
SUY TIM,HAS_SYMPTOM,TỬ VONG
VIÊM MÀNG,HAS_SYMPTOM,ÁP XE TRONG
VIÊM MÀNG,HAS_SYMPTOM,VIÊM
BỆNH ĐA XƠ CỨNG,HAS_SYMPTOM,COVID
SUY TIM,HAS_SYMPTOM,SUY ĐA TẠNG
XƠ VỮA MẠCH MÁU,HAS_SYMPTOM,SARS
NGHE KÉM,HAS_SYMPTOM,TÊ BÌ
LIỆT NỬA MẶT,HAS_SYMPTOM,TRIỆU CHỨNG
KHÓ THỞ,HAS_SYMPTOM,HO KHAN
NỨT NẺ,HAS_SYMPTOM,ỬNG ĐỎ
COVID,HAS_SYMPTOM,NỔI MÀY ĐAY
HẮT XÌ HƠI,HAS_SYMPTOM,BỆNH NỀN
KHÓ NGỦ,HAS_SYMPTOM,ẢO GIÁC
RỐI LOẠN CÂN BẰNG GIẤC NGỦ,HAS_SYMPTOM,ẢO GIÁC
TIM ĐẬP NHANH,HAS_SYMPTOM,KHÓ NGỦ
UỐN VÁN,HAS_SYMPTOM,HO GÀ
TRÍ NHỚ GIẢM SÚT,HAS_SYMPTOM,SUY NHƯỢC
PHÙ NỀ,HAS_SYMPTOM,BIẾN CHỨNG
ĐAU,HAS_SYMPTOM,UNG THƯ VÒM HỌNG
TẮC NGHẼN DỊCH,HAS_SYMPTOM,TRIỆU CHỨNG
LIỆT MẶT,HAS_SYMPTOM,BẠI LIỆT
VIÊM MŨI,HAS_SYMPTOM,ÊM MŨI
CHÓNG MẶT,HAS_SYMPTOM,HỒI HỘP
BUỒN NÔN,HAS_SYMPTOM,HỒI HỘP
HEN,HAS_SYMPTOM,ZONA
ĐAU ĐẦU,HAS_SYMPTOM,VIÊM XOANG
THÈM ĂN,HAS_SYMPTOM,BUỒN NGỦ
HO KHAN,HAS_SYMPTOM,ĐÀM
TÊ BÌ,HAS_SYMPTOM,SUY NHƯỢC
UNG THƯ PHỔI,HAS_SYMPTOM,ÁP XE PHỔI
MẮC BỆNH,HAS_SYMPTOM,ĐÁI THÁO ĐƯỜNG
TĂNG MEN GAN,HAS_SYMPTOM,HUYẾT ÁP
ĐAU ĐẦU,HAS_SYMPTOM,SUY NHƯỢC
QUẤY KHÓC,HAS_SYMPTOM,LỜ ĐỜ
HỘI CHỨNG ỐNG,HAS_SYMPTOM,THOÁT VỊ HẠNH NHÂN
HỘI CHỨNG STEVEN-JOHNSON,HAS_SYMPTOM,HỒNG BAN
HUYẾT,HAS_SYMPTOM,UNG THƯ PHỔI
CHOÁNG ĐẦU,HAS_SYMPTOM,NẶNG ĐẦU
NHIỄM TRÙNG,HAS_SYMPTOM,THAY ĐỔI TÍNH KHÍ
HO KHAN,HAS_SYMPTOM,SỐT
TỨC NGỰC,HAS_SYMPTOM,SỐT
ĐA NANG,HAS_SYMPTOM,COVID
TRIỆU CHỨNG,HAS_SYMPTOM,VẾT TÍM
BUỒN NGỦ,HAS_SYMPTOM,ỚN LẠNH
XƠ GAN,HAS_SYMPTOM,HẸP MẠCH VÀNH
SỔ MŨI,HAS_SYMPTOM,"ĐAU, NHỨC"
CHẢY NƯỚC MŨI,HAS_SYMPTOM,THỞ GẤP
NÓI NGỌNG,HAS_SYMPTOM,TỬ VONG
NÓI NGỌNG,HAS_SYMPTOM,SUY GIẢM TRÍ NHỚ
ĐAU BỤNG,HAS_SYMPTOM,KINH NGUYỆT
CHÓNG MẶT,HAS_SYMPTOM,TAI BIẾN
HẠ HUYẾT ÁP,HAS_SYMPTOM,CHÓNG MẶT
MÃN KINH,HAS_SYMPTOM,SUY BUỒNG TRỨNG
TÊ BÌ,HAS_SYMPTOM,VIÊM
CÓ TIẾNG THỞ RÍT,HAS_SYMPTOM,MỆT MỎI
CHÓNG MẶT,HAS_SYMPTOM,XÂY XẨM MẶT MÀY
ĂN KÉM,HAS_SYMPTOM,SUY THẬN
TỬ VONG,HAS_SYMPTOM,RỐI LOẠN VỀ TRI GIÁC
TẮC NGHẼN,HAS_SYMPTOM,TỨC NGỰC
SUY THẬN,HAS_SYMPTOM,UNG THƯ PHỔI
BỆNH RỖNG TỦY,HAS_SYMPTOM,TÊ TAY
BỊ BỆNH PHỔI,HAS_SYMPTOM,DỊ ỨNG
NGHẸT MŨI,HAS_SYMPTOM,ĐAU HỌNG
NHIỄM KHUẨN,HAS_SYMPTOM,MỆT MỎI
VÔ SINH,HAS_SYMPTOM,RONG KINH
MẤT NGỦ,HAS_SYMPTOM,TÂM THẦN
ĐAU ĐẦU,HAS_SYMPTOM,TÂM THẦN
DỊ ỨNG,HAS_SYMPTOM,PHÙ NỀ
SINH NON,HAS_SYMPTOM,LAO
VIÊM PHỔI,HAS_SYMPTOM,THIẾU
VI KHUẨN,HAS_SYMPTOM,ĐẬP KHÔNG ĐỀU
CỨNG HỌNG,HAS_SYMPTOM,NGHẸT THỞ
DỊ ỨNG,HAS_SYMPTOM,RỐI LOẠN ĐÔNG MÁU
TIẾNG RÍT,HAS_SYMPTOM,TỨC NGỰC
SƯNG MẶT,HAS_SYMPTOM,BỆNH CHÀM
BỊ BỆNH,HAS_SYMPTOM,NHỨC
NHỨC,HAS_SYMPTOM,ĐAU BỤNG
NHỨC,HAS_SYMPTOM,NÔN MỬA
SỐT,HAS_SYMPTOM,ĐAU SƯNG ĐỎ
LIỆT RUỘT,HAS_SYMPTOM,LOẠN THẦN
ĐA KINH,HAS_SYMPTOM,ÍT KINH
LAO PHỔI,HAS_SYMPTOM,ÁP XE PHỔI
VIÊM CẦU,HAS_SYMPTOM,VIÊM
TÁI NHỢT,HAS_SYMPTOM,TÊ TAY
SỤT CÂN,HAS_SYMPTOM,CHẢY MÁU
CHÁN ĂN,HAS_SYMPTOM,CHẢY MÁU
KHÒ KHÈ,HAS_SYMPTOM,TẮC NGHẼN
NGỨA RAN,HAS_SYMPTOM,CẢM CÚM
BỎNG RÁT,HAS_SYMPTOM,Ợ HƠI
MẤT THỊ LỰC,HAS_SYMPTOM,DI CHỨNG
TỤT HUYẾT ÁP,HAS_SYMPTOM,NỔI BAN
CHẢY NƯỚC MẮT,HAS_SYMPTOM,PHÁT BAN
BỊ BỆNH PHỔI,HAS_SYMPTOM,VIÊM MŨI
THỪA CÂN,HAS_SYMPTOM,MỠ MÁU
CHẬM,HAS_SYMPTOM,CHẤN THƯƠNG
BỎNG RÁT,HAS_SYMPTOM,ĐAU NGỰC R
BỆNH PHỔI,HAS_SYMPTOM,TẮC NGHẼN
NGHẸT MŨI,HAS_SYMPTOM,MẤT VỊ
NGHẸT MŨI,HAS_SYMPTOM,MẤT MÙI
NÔN MỬA,HAS_SYMPTOM,BỆNH TIÊU CHẢY
KHỐI U,HAS_SYMPTOM,MẤT NƯỚC
MỆT MỎI,HAS_SYMPTOM,BỆNH LÝ
LAO PHỔI,HAS_SYMPTOM,TẾ BÀO UNG THƯ
VI KHUẨN,HAS_SYMPTOM,VI RÚT
SỐT,HAS_SYMPTOM,TĂNG HUYẾT ÁP
HUYẾT ÁP,HAS_SYMPTOM,SỐT
KHÓ THỞ,HAS_SYMPTOM,TÁI NHỢT
TỔN THƯƠNG,HAS_SYMPTOM,TIỂU RẮT
ĐỔ MỒ HÔI,HAS_SYMPTOM,HO RA MÁU
NỔI BAN,HAS_SYMPTOM,SỞI
HỤT HƠI,HAS_SYMPTOM,BUỒN NÔN
Ù TAI,HAS_SYMPTOM,ĐỨNG KHÔNG VỮNG
NỔI MỀ ĐAY,HAS_SYMPTOM,PHÙ MẶT
NHIỄM KHUẨN LOA,HAS_SYMPTOM,SUY DINH DƯỠNG
NGỨA,HAS_SYMPTOM,NỔI HỘT
VIÊM GAN,HAS_SYMPTOM,VIÊM LOÉT
VIÊM ĐẠI TRÀNG,HAS_SYMPTOM,DỊ ỨNG
TỨC NGỰC,HAS_SYMPTOM,HO RA ĐỜM
TIÊU CHẢY,HAS_SYMPTOM,TĂNG TIẾT NƯỚC BỌT
VIÊM,HAS_SYMPTOM,DƯƠNG TÍNH
UỂ OẢI,HAS_SYMPTOM,TRONG MÁU
KHÀN TIẾNG,HAS_SYMPTOM,LOẠN NHỊP
CHÓNG MẶT,HAS_SYMPTOM,NGỦ CHẬP CHỜN
ĐAU BỤNG,HAS_SYMPTOM,CĂNG CỨNG
CHẢY NƯỚC MŨI,HAS_SYMPTOM,DỊ VẬT
THOÁI HOÁ KHỚP GỐI,HAS_SYMPTOM,THAY ĐỔI DÁNG ĐI LẮC LƯ
DI TRUYỀN,HAS_SYMPTOM,BỆNH LÝ
PHÁT BAN,HAS_SYMPTOM,VIÊM GAN
BỆNH VẢY NẾN,HAS_SYMPTOM,VẨY NẾN
MẤT CẢM GIÁC,HAS_SYMPTOM,TÊ BÌ
MỆT MỎI,HAS_SYMPTOM,DỊ ỨNG
NHỊP NHANH,HAS_SYMPTOM,NHỊP ĐẬP HỤT
NGHẸT MŨI,HAS_SYMPTOM,TÊ LƯỠI
KHỐI U,HAS_SYMPTOM,COVID
MẤT NGỦ,HAS_SYMPTOM,TRONG MÁU
ĐAU,HAS_SYMPTOM,KHÀN TIẾNG
KINH NGUYỆT,HAS_SYMPTOM,BẨM SINH
XUẤT HUYẾT,HAS_SYMPTOM,CHẤN THƯƠNG
VIÊM PHỔI,HAS_SYMPTOM,NHIỄM NẤM
ĐẦY BỤNG,HAS_SYMPTOM,BIẾNG ĂN
TÁO BÓN,HAS_SYMPTOM,TAI BIẾN
RỐI LOẠN THẦN KINH,HAS_SYMPTOM,HỘI CHỨNG
MÃN TÍNH,HAS_SYMPTOM,HỘI CHỨNG BUỒNG TRỨNG ĐA NANG
BỆNH VẢY NẾN,HAS_SYMPTOM,COVID
TIM ĐẬP NHANH,HAS_SYMPTOM,NHANH
NỔI MỀ ĐAY,HAS_SYMPTOM,TIM ĐẬP NHANH
NỔI MỀ ĐAY,HAS_SYMPTOM,SƯNG HÚP
CO GIẬT,HAS_SYMPTOM,CHẤN ĐỘNG
ĐỎ BỪNG MẶT,HAS_SYMPTOM,LẠNH RUN
TÊ LƯỠI,HAS_SYMPTOM,KHÓ THỞ
BẨM SINH,HAS_SYMPTOM,HỘI CHỨNG KHÔNG NHẠY CẢM
VI KHUẨN,HAS_SYMPTOM,THIẾU MÁU CỤC BỘ
RÉT RUN,HAS_SYMPTOM,NÓNG RAN
TẮC NGHẼN,HAS_SYMPTOM,Ù TAI
TẮC NGHẼN,HAS_SYMPTOM,HỤT HƠI
HẮT HƠI,HAS_SYMPTOM,CÚM
SỐT,HAS_SYMPTOM,RÉT RUN
THỪA CÂN,HAS_SYMPTOM,BỆNH LÝ
CHÓNG MẶT,HAS_SYMPTOM,CHOÁNG ĐẦU
RUN RẨY,HAS_SYMPTOM,NHẠY CẢM
SUY TĨNH MẠCH,HAS_SYMPTOM,NỔI MỀ ĐAY
CHÁN ĂN,HAS_SYMPTOM,SUY GAN
RUBELLA,HAS_SYMPTOM,QUAI BỊ
KHÓ THỞ,HAS_SYMPTOM,DỊ ỨNG DA
BÉO PHÌ,HAS_SYMPTOM,CAO HUYẾT ÁP
ĐI TIỂU,HAS_SYMPTOM,RÁT
BẠCH HẦU,HAS_SYMPTOM,VIÊM PHẾ CẦU
MỠ MÁU,HAS_SYMPTOM,THỪA CÂN
TỬ VONG,HAS_SYMPTOM,BIẾN CHỨNG MẠCH
THỞ KHÒ KHÈ,HAS_SYMPTOM,ĐAU LỒNG NGỰC
HOA MẮT,HAS_SYMPTOM,HỒI HỘP TRỐNG NGỰC
QUAN HỆ TÌNH DỤC,HAS_SYMPTOM,NHIỄM KHUẨN
VIÊM,HAS_SYMPTOM,ĐÁNH TRỐNG NGỰC
RỐI LOẠN LO ÂU,HAS_SYMPTOM,MỆT MỎI
VI KHUẨN,HAS_SYMPTOM,VIÊM XOANG
NHIỄM TRÙNG HÔ HẤP,HAS_SYMPTOM,ÁP XE PHỔI
VIÊM KHỚP VẢY NẾN,HAS_SYMPTOM,BỆNH VIÊM CỘT SỐNG DÍNH KHỚP
TĂNG HUYẾT ÁP,HAS_SYMPTOM,GIẢM HUYẾT ÁP
SƯNG HẠCH CỔ,HAS_SYMPTOM,SƯNG HẠCH
SUY VAN TĨNH MẠCH,HAS_SYMPTOM,VIÊM
TIỀN ĐÌNH,HAS_SYMPTOM,VIÊM XOANG
THÈM ĂN,HAS_SYMPTOM,CHÓNG MẶT
THAY ĐỔI TÍNH KHÍ,HAS_SYMPTOM,KHÔ
VIÊM GAN,HAS_SYMPTOM,SUY GAN
NHIỄM TRÙNG,HAS_SYMPTOM,QUAN HỆ TÌNH DỤC
MẤT NGỦ,HAS_SYMPTOM,MỆT MỎI
ĐAU BỤNG,HAS_SYMPTOM,TOÁT MỒ HÔI
RỐI LOẠN NHỊP,HAS_SYMPTOM,COVID
GIANG MAI,HAS_SYMPTOM,HỘI CHỨNG SƯNG HẠCH BẸN
NỔI MỀ ĐAY,HAS_SYMPTOM,CHÀM DA
CẢM GIÁC NGỨA,HAS_SYMPTOM,TỔN THƯƠNG
ĐÁI THÁO ĐƯỜNG,HAS_SYMPTOM,XƠ VỮA MẠCH MÁU
LUPUS,HAS_SYMPTOM,VIÊM
TAI NẠN,HAS_SYMPTOM,ĐAU
NHIỄM TRÙNG,HAS_SYMPTOM,RỐI LOẠN
TIỀN ĐÌNH,HAS_SYMPTOM,MẤT NGỦ
RÚT LÕM LỒNG NGỰC,HAS_SYMPTOM,KHÒ KHÈ
NGỨA,HAS_SYMPTOM,BẠI LIỆT
CHẬM,HAS_SYMPTOM,COVID
HO KHAN,HAS_SYMPTOM,ĐAU MỎI CƠ
KHÔNG HỒNG HÀO,HAS_SYMPTOM,MẮC BỆNH
MỆT MỎI,HAS_SYMPTOM,NHANH
BỆNH ĐỘNG MẠCH VÀNH,HAS_SYMPTOM,RỐI LOẠN
RỐI LOẠN CHỨC NĂNG ĐÔNG MÁU,HAS_SYMPTOM,HỘI CHỨNG DOWN
BỆNH NỀN,HAS_SYMPTOM,SUY GIẢM MIỄN DỊCH
TAI NẠN GIAO THÔNG,HAS_SYMPTOM,TAI NẠN
VIÊM TUỶ,HAS_SYMPTOM,SUY GAN
ĐAU,HAS_SYMPTOM,KHÔ HANH
LO ÂU,HAS_SYMPTOM,SỢ HÃI
CĂNG THẲNG,HAS_SYMPTOM,SỢ HÃI
NỔI MÀY ĐAY,HAS_SYMPTOM,QUÁNG GÀ
TỔN THƯƠNG,HAS_SYMPTOM,DỊ CẢM
UNG THƯ PHẾ QUẢN,HAS_SYMPTOM,UNG THƯ VÚ
PHẬP PHỒNG,HAS_SYMPTOM,THỞ RÍT
SUY TIM,HAS_SYMPTOM,RỐI LOẠN TIÊU HÓA
VIRURS,HAS_SYMPTOM,BỆNH PHỔI
THỞ RÍT,HAS_SYMPTOM,NGỪNG TIM
THỞ RÍT,HAS_SYMPTOM,HUYẾT ÁP
ĐAU,HAS_SYMPTOM,ÁC TÍNH
VIÊM XƯỚC,HAS_SYMPTOM,CHẢY MÁU
ĐAU,HAS_SYMPTOM,ÂM Ỉ
SỐT,HAS_SYMPTOM,NGHẸT MŨI
